Název šablony,Sekce,Typ zobrazení,Název parametru,Volby,,,,,,,Jednotky,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Válník,Rozměry,počet,délka,,,,,,,,mm,cm,m,km
Válník,Rozměry,počet,šířka,,,,,,,,mm,cm,m,km
Válník,Rozměry,počet,výška,,,,,,,,mm,cm,m,km
Válník,Rozměry,počet,hloubka,,,,,,,,mm,cm,m,km
Válník,Rozměry,počet,objem,,,,,,,,L,m2,m3,
Válník,Rozměry,počet,hmotnost,,,,,,,,gr,kg,,
Válník,Rozměry,počet,nosnost,,,,,,,,gr,kg,,
Válník,Náprava,multivolba,typ,1 osa,2 osy,3 osy,,,,,,,,
Válník,,počet,Max. Rychlost,,,,,,,,km/h,,,
Válník,Brzdy,volba,typ,vzduchový,mechanický,,,,,,km/h,,,
Válník,,volba,Spojovací zařízení,kolík,závěsné oko,,,,,,,,,
Válník,,počet,Napětí,,,,,,,,V DC,V AC,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
zemědělské traktory,,multivolba,Značka,John Deere,Massey Ferguson,New Holland,Case IH,Zetor,,,,,,
zemědělské traktory,,text,Model,,,,,,,,,,,
zemědělské traktory,motor,počet,Vzdvihový objem,,,,,,,,ccm,,,
zemědělské traktory,motor,počet,Výkon motoru,,,,,,,,kW,hp,,
zemědělské traktory,motor,ano/ne,Vstřikování,Common Rail,,,,,,,,,,
zemědělské traktory,kola,počet,rozměry,,,,,,,,mm,cm,m,km
zemědělské traktory,palivo,počet,objem nádrže,,,,,,,,l,,,
zemědělské traktory,palivo,ano/ne,AdBlue,,,,,,,,,,,
zemědělské traktory,Převodovka,počet,Počet rychlosti,,,,,,,,,,,
zemědělské traktory,Převodovka,volba,Převodovka,elektrohydraulicky,mechanická,automatická,,,,,,,,
zemědělské traktory,Převodovka,počet,Max. Rychlost,,,,,,,,km/h,,,
zemědělské traktory,Elektrika,volba,Elektrika,12V,24V,,,,,,,,,
zemědělské traktory,Nápravy,ano/ne,Nápravy,odprůžený ,neodprůžený,,,,,,,,,
zemědělské traktory,Hydraulika,počet,počet okruhu,,,,,,,,,,,
zemědělské traktory,Hydraulika,počet,průtok,,,,,,,,l/min,,,
zemědělské traktory,Závěsy,ano/ne,Závěsy přední,,,,,,,,,,,
zemědělské traktory,Závěsy,ano/ne,Závěsy zadní,,,,,,,,,,,
zemědělské traktory,PTO,volba,Počet ot/min,540,1000,,,,,,,,,
zemědělské traktory,PTO,ano/ne,Zadní,,,,,,,,,,,
zemědělské traktory,PTO,ano/ne,Přední,,,,,,,,,,,
zemědělské traktory,Kabina,počet,Max. Hlučnost,,,,,,,,db,,,
zemědělské traktory,Kabina,volba,Sedačka,mechanická,vzduchová,,,,,,,,,
zemědělské traktory,Kabina,ano/ne,Klimatizace,,,,,,,,,,,
zemědělské traktory,Kabina,ano/ne,Multifunkční páka,,,,,,,,,,,
zemědělské traktory,Kabina,ano/ne,odprůžená kabina,,,,,,,,,,,
zemědělské traktory,Hmotnost,počet,Max. Povolená,,,,,,,, ,,,
zemědělské traktory,Rozměry,počet,Max. Šířka,,,,,,,,,,,
zemědělské traktory,Rozměry,počet,Max. Výška,,,,,,,,,,,
zemědělské traktory,Rozměry,počet,Max. Délka,,,,,,,,,,,
